nama_kabupaten,tahun,luas_panen_ha,produksi_ton,yield_ton_ha,tanaman,tanaman_encoded,yield_relative,status_aktual,yield_lag1,yield_trend,musim,tahun_panen,musim_encoded,temp_veg_mean,temp_rep_mean,temp_mat_mean,rain_veg_total,rain_rep_total,rain_mat_total,rain_total_musim,humidity_mean_musim,radiation_veg,radiation_rep,drought_index_mean,n_bulan_data,water_balance,ph_h2o,nitrogen_cn_kg,clay_pct,sand_pct,silt_pct,soc_dg_kg,cec_mmol_kg,bulk_density,fertility_index,whc_proxy,ph_status_encoded,texture_encoded,kesesuaian_encoded
Kab. Bandung,2019,6200,35900,5.79,Jagung,1,1.00976630624346,NORMAL,5.73,0.05999999999999961,MR,2019,1,24.603,24.405,24.593,751.5,770.0,413.6,1935.1,82.247,1172.75,1008.86,4.215,5.0,1513.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2019,6200,35900,5.79,Jagung,1,1.00976630624346,NORMAL,5.73,0.05999999999999961,MG,2019,0,25.144,23.923,23.671,620.9,75.8,39.4,736.1,77.508,1054.33,1192.11,1.479,5.0,588.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2020,6100,35500,5.82,Jagung,1,1.0149982560167423,NORMAL,5.79,0.03000000000000025,MR,2020,1,24.491,24.3,23.986,412.2,1090.2,418.8,1921.2,81.828,1346.71,992.53,4.576,5.0,1463.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2020,6100,35500,5.82,Jagung,1,1.0149982560167423,NORMAL,5.79,0.03000000000000025,MG,2020,0,24.994,24.188,24.023,847.3,183.1,108.4,1138.8,81.372,931.61,1079.03,2.68,5.0,870.8,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2021,5900,34600,5.86,Jagung,1,1.0219741890477851,NORMAL,5.82,0.040000000000000036,MR,2021,1,24.212,23.623,23.529,924.2,942.8,278.0,2145.0,84.29,1043.22,799.29,5.534,5.0,1591.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2021,5900,34600,5.86,Jagung,1,1.0219741890477851,NORMAL,5.82,0.040000000000000036,MG,2021,0,24.646,23.975,23.697,522.1,315.0,112.5,949.6,81.028,1069.96,1041.48,2.308,5.0,718.8,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2022,6800,40300,5.93,Jagung,1,1.0341820718521102,NORMAL,5.86,0.0699999999999994,MR,2022,1,24.215,24.134,23.736,949.9,631.6,305.0,1886.5,83.096,993.82,1008.03,4.914,5.0,1395.1,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2022,6800,40300,5.93,Jagung,1,1.0341820718521102,NORMAL,5.86,0.0699999999999994,MG,2022,0,24.425,24.037,24.235,630.8,441.2,153.6,1225.6,81.832,977.25,987.08,2.734,5.0,952.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2023,5800,34600,5.97,Jagung,1,1.041158004883153,NORMAL,5.93,0.040000000000000036,MR,2023,1,24.046,23.806,23.429,996.1,851.9,360.6,2208.6,84.134,914.84,989.84,5.885,5.0,1620.1,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2023,5800,34600,5.97,Jagung,1,1.041158004883153,NORMAL,5.93,0.040000000000000036,MG,2023,0,24.895,24.014,23.516,436.2,251.6,46.5,734.3,81.028,1075.49,1054.57,1.623,5.0,572.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2014,54000,291500,5.4,Padi,0,0.9941089837997055,NORMAL,,,MR,2014,1,,,,,,,,,,,,,,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2014,54000,291500,5.4,Padi,0,0.9941089837997055,NORMAL,,,MG,2014,0,24.755,24.16,23.535,657.0,388.3,106.8,1152.1,81.657,1040.52,966.19,2.489,5.0,903.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2015,53200,287200,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MR,2015,1,24.432,23.935,23.586,576.9,922.0,505.3,2004.2,81.979,1175.2,915.83,4.959,5.0,1508.3,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2015,53200,287200,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MG,2015,0,24.508,23.992,24.277,592.0,96.8,22.0,710.8,77.485,1029.69,1155.61,1.628,5.0,548.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2016,53800,290500,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MR,2016,1,24.588,24.756,24.39,600.1,873.4,584.0,2057.5,81.243,1283.04,978.76,4.699,5.0,1587.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2016,53800,290500,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MG,2016,0,25.353,24.59,24.284,711.8,397.2,241.4,1350.4,81.422,928.87,974.45,2.977,5.0,1052.7,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2017,54200,292700,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MR,2017,1,24.419,24.342,23.786,1267.6,579.4,521.8,2368.8,83.382,894.36,932.86,6.038,5.0,1765.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2017,54200,292700,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MG,2017,0,24.768,24.389,24.048,710.1,318.4,38.0,1066.5,79.899,1013.8,1018.27,2.515,5.0,815.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2018,53500,288800,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MR,2018,1,24.4,24.029,23.693,902.3,645.7,413.2,1961.2,83.365,1045.73,957.21,4.75,5.0,1486.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2018,53500,288800,5.4,Padi,0,0.9941089837997055,NORMAL,5.4,0.0,MG,2018,0,24.846,24.032,23.571,396.5,161.9,38.9,597.3,78.225,1122.14,1137.1,1.267,5.0,470.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2019,52800,287200,5.44,Padi,0,1.0014727540500736,NORMAL,5.4,0.040000000000000036,MR,2019,1,24.603,24.405,24.593,751.5,770.0,413.6,1935.1,82.247,1172.75,1008.86,4.215,5.0,1513.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2019,52800,287200,5.44,Padi,0,1.0014727540500736,NORMAL,5.4,0.040000000000000036,MG,2019,0,25.144,23.923,23.671,620.9,75.8,39.4,736.1,77.508,1054.33,1192.11,1.479,5.0,588.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2020,51200,279500,5.46,Padi,0,1.0051546391752577,NORMAL,5.44,0.019999999999999574,MR,2020,1,24.491,24.3,23.986,412.2,1090.2,418.8,1921.2,81.828,1346.71,992.53,4.576,5.0,1463.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2020,51200,279500,5.46,Padi,0,1.0051546391752577,NORMAL,5.44,0.019999999999999574,MG,2020,0,24.994,24.188,24.023,847.3,183.1,108.4,1138.8,81.372,931.61,1079.03,2.68,5.0,870.8,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2021,50100,273900,5.47,Padi,0,1.0069955817378498,NORMAL,5.46,0.009999999999999787,MR,2021,1,24.212,23.623,23.529,924.2,942.8,278.0,2145.0,84.29,1043.22,799.29,5.534,5.0,1591.6,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2021,50100,273900,5.47,Padi,0,1.0069955817378498,NORMAL,5.46,0.009999999999999787,MG,2021,0,24.646,23.975,23.697,522.1,315.0,112.5,949.6,81.028,1069.96,1041.48,2.308,5.0,718.8,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2022,54200,297000,5.48,Padi,0,1.0088365243004418,NORMAL,5.47,0.010000000000000675,MR,2022,1,24.215,24.134,23.736,949.9,631.6,305.0,1886.5,83.096,993.82,1008.03,4.914,5.0,1395.1,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2022,54200,297000,5.48,Padi,0,1.0088365243004418,NORMAL,5.47,0.010000000000000675,MG,2022,0,24.425,24.037,24.235,630.8,441.2,153.6,1225.6,81.832,977.25,987.08,2.734,5.0,952.2,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2023,48500,265300,5.47,Padi,0,1.0069955817378498,NORMAL,5.48,-0.010000000000000675,MR,2023,1,24.046,23.806,23.429,996.1,851.9,360.6,2208.6,84.134,914.84,989.84,5.885,5.0,1620.1,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung,2023,48500,265300,5.47,Padi,0,1.0069955817378498,NORMAL,5.48,-0.010000000000000675,MG,2023,0,24.895,24.014,23.516,436.2,251.6,46.5,734.3,81.028,1075.49,1054.57,1.623,5.0,572.0,5.8,162,35.0,28.0,37.0,22.3,225,1.15,7.84,21.4,2,3,2
Kab. Bandung Barat,2014,7500,43500,5.8,Jagung,1,0.9676343009676341,NORMAL,,,MR,2014,1,,,,,,,,,,,,,,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2014,7500,43500,5.8,Jagung,1,0.9676343009676341,NORMAL,,,MG,2014,0,23.26,22.747,22.458,515.5,317.2,53.8,886.5,80.279,1067.93,993.22,1.941,5.0,692.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2015,7200,41300,5.74,Jagung,1,0.9576242909576242,NORMAL,5.8,-0.05999999999999961,MR,2015,1,23.728,22.552,21.971,447.5,763.5,411.2,1622.2,79.103,1232.8,942.84,4.125,5.0,1209.7,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2015,7200,41300,5.74,Jagung,1,0.9576242909576242,NORMAL,5.8,-0.05999999999999961,MG,2015,0,23.081,22.898,23.316,461.8,83.0,12.0,556.8,75.629,1056.19,1161.44,1.3,5.0,426.8,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2016,7400,43000,5.81,Jagung,1,0.9693026359693024,NORMAL,5.74,0.0699999999999994,MR,2016,1,23.898,23.203,22.797,400.1,743.1,578.6,1721.8,78.458,1319.98,999.76,4.126,5.0,1309.2,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2016,7400,43000,5.81,Jagung,1,0.9693026359693024,NORMAL,5.74,0.0699999999999994,MG,2016,0,23.802,23.122,22.974,552.3,291.9,168.2,1012.4,80.752,961.84,1001.93,2.29,5.0,783.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2017,8100,47900,5.91,Jagung,1,0.9859859859859859,NORMAL,5.81,0.10000000000000053,MR,2017,1,23.036,23.034,22.229,1000.2,432.4,389.5,1822.1,81.673,974.64,976.28,4.642,5.0,1357.9,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2017,8100,47900,5.91,Jagung,1,0.9859859859859859,NORMAL,5.81,0.10000000000000053,MG,2017,0,23.384,23.219,23.7,587.1,219.3,13.6,820.0,77.142,1038.53,1038.31,1.986,5.0,621.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2018,8600,51600,6.0,Jagung,1,1.0010010010010009,NORMAL,5.91,0.08999999999999986,MR,2018,1,23.136,22.765,22.168,742.1,453.0,318.7,1513.8,81.734,1102.63,1001.14,3.521,5.0,1161.7,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2018,8600,51600,6.0,Jagung,1,1.0010010010010009,NORMAL,5.91,0.08999999999999986,MG,2018,0,23.472,23.392,23.19,305.9,91.6,16.2,413.7,74.436,1145.48,1135.81,0.889,5.0,324.8,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2019,9200,55800,6.07,Jagung,1,1.0126793460126793,NORMAL,6.0,0.07000000000000028,MR,2019,1,23.58,23.003,23.029,658.6,658.6,386.6,1703.8,79.983,1221.36,1034.26,3.684,5.0,1335.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2019,9200,55800,6.07,Jagung,1,1.0126793460126793,NORMAL,6.0,0.07000000000000028,MG,2019,0,23.677,23.174,22.994,596.1,49.1,19.1,664.3,74.605,1065.64,1191.51,1.474,5.0,516.9,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2020,9000,54900,6.1,Jagung,1,1.0176843510176843,NORMAL,6.07,0.02999999999999936,MR,2020,1,23.739,22.787,22.376,358.1,1090.6,399.2,1847.9,79.703,1372.29,1009.09,5.358,5.0,1312.1,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2020,9000,54900,6.1,Jagung,1,1.0176843510176843,NORMAL,6.07,0.02999999999999936,MG,2020,0,23.487,23.04,23.106,582.1,120.4,75.0,777.5,79.04,967.13,1098.98,1.84,5.0,593.5,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2021,8800,53900,6.13,Jagung,1,1.0226893560226893,NORMAL,6.1,0.03000000000000025,MR,2021,1,22.94,22.234,21.929,717.2,766.9,252.9,1737.0,82.562,1093.17,829.52,4.456,5.0,1291.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2021,8800,53900,6.13,Jagung,1,1.0226893560226893,NORMAL,6.1,0.03000000000000025,MG,2021,0,23.166,22.543,22.526,458.5,241.5,95.3,795.3,80.173,1085.48,1060.61,1.969,5.0,598.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2022,10000,61800,6.18,Jagung,1,1.0310310310310309,NORMAL,6.13,0.04999999999999982,MR,2022,1,23.163,22.729,22.343,678.5,538.3,210.5,1427.3,81.06,1059.86,1024.93,3.63,5.0,1064.3,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2022,10000,61800,6.18,Jagung,1,1.0310310310310309,NORMAL,6.13,0.04999999999999982,MG,2022,0,23.027,22.55,22.984,482.1,312.3,120.4,914.8,80.736,1017.91,1007.82,2.04,5.0,710.8,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2023,8500,52700,6.2,Jagung,1,1.0343677010343677,NORMAL,6.18,0.020000000000000462,MR,2023,1,22.753,22.474,21.957,754.7,663.4,290.9,1709.0,82.201,978.01,1008.14,4.364,5.0,1272.6,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2023,8500,52700,6.2,Jagung,1,1.0343677010343677,NORMAL,6.18,0.020000000000000462,MG,2023,0,23.588,22.806,22.726,356.2,178.6,24.8,559.6,78.789,1100.26,1077.3,1.176,5.0,442.0,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2014,29000,157900,5.45,Padi,0,0.9970728137577755,NORMAL,,,MR,2014,1,,,,,,,,,,,,,,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2014,29000,157900,5.45,Padi,0,0.9970728137577755,NORMAL,,,MG,2014,0,23.26,22.747,22.458,515.5,317.2,53.8,886.5,80.279,1067.93,993.22,1.941,5.0,692.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2015,28500,155200,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MR,2015,1,23.728,22.552,21.971,447.5,763.5,411.2,1622.2,79.103,1232.8,942.84,4.125,5.0,1209.7,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2015,28500,155200,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MG,2015,0,23.081,22.898,23.316,461.8,83.0,12.0,556.8,75.629,1056.19,1161.44,1.3,5.0,426.8,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2016,28800,156800,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MR,2016,1,23.898,23.203,22.797,400.1,743.1,578.6,1721.8,78.458,1319.98,999.76,4.126,5.0,1309.2,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2016,28800,156800,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MG,2016,0,23.802,23.122,22.974,552.3,291.9,168.2,1012.4,80.752,961.84,1001.93,2.29,5.0,783.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2017,29200,158900,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MR,2017,1,23.036,23.034,22.229,1000.2,432.4,389.5,1822.1,81.673,974.64,976.28,4.642,5.0,1357.9,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2017,29200,158900,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MG,2017,0,23.384,23.219,23.7,587.1,219.3,13.6,820.0,77.142,1038.53,1038.31,1.986,5.0,621.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2018,28800,156800,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MR,2018,1,23.136,22.765,22.168,742.1,453.0,318.7,1513.8,81.734,1102.63,1001.14,3.521,5.0,1161.7,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2018,28800,156800,5.45,Padi,0,0.9970728137577755,NORMAL,5.45,0.0,MG,2018,0,23.472,23.392,23.19,305.9,91.6,16.2,413.7,74.436,1145.48,1135.81,0.889,5.0,324.8,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2019,28000,153500,5.48,Padi,0,1.0025612879619468,NORMAL,5.45,0.03000000000000025,MR,2019,1,23.58,23.003,23.029,658.6,658.6,386.6,1703.8,79.983,1221.36,1034.26,3.684,5.0,1335.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2019,28000,153500,5.48,Padi,0,1.0025612879619468,NORMAL,5.45,0.03000000000000025,MG,2019,0,23.677,23.174,22.994,596.1,49.1,19.1,664.3,74.605,1065.64,1191.51,1.474,5.0,516.9,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2020,27500,150800,5.48,Padi,0,1.0025612879619468,NORMAL,5.48,0.0,MR,2020,1,23.739,22.787,22.376,358.1,1090.6,399.2,1847.9,79.703,1372.29,1009.09,5.358,5.0,1312.1,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2020,27500,150800,5.48,Padi,0,1.0025612879619468,NORMAL,5.48,0.0,MG,2020,0,23.487,23.04,23.106,582.1,120.4,75.0,777.5,79.04,967.13,1098.98,1.84,5.0,593.5,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2021,27000,148000,5.48,Padi,0,1.0025612879619468,NORMAL,5.48,0.0,MR,2021,1,22.94,22.234,21.929,717.2,766.9,252.9,1737.0,82.562,1093.17,829.52,4.456,5.0,1291.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2021,27000,148000,5.48,Padi,0,1.0025612879619468,NORMAL,5.48,0.0,MG,2021,0,23.166,22.543,22.526,458.5,241.5,95.3,795.3,80.173,1085.48,1060.61,1.969,5.0,598.4,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2022,29200,160200,5.49,Padi,0,1.004390779363337,NORMAL,5.48,0.009999999999999787,MR,2022,1,23.163,22.729,22.343,678.5,538.3,210.5,1427.3,81.06,1059.86,1024.93,3.63,5.0,1064.3,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2022,29200,160200,5.49,Padi,0,1.004390779363337,NORMAL,5.48,0.009999999999999787,MG,2022,0,23.027,22.55,22.984,482.1,312.3,120.4,914.8,80.736,1017.91,1007.82,2.04,5.0,710.8,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2023,25000,137100,5.48,Padi,0,1.0025612879619468,NORMAL,5.49,-0.009999999999999787,MR,2023,1,22.753,22.474,21.957,754.7,663.4,290.9,1709.0,82.201,978.01,1008.14,4.364,5.0,1272.6,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bandung Barat,2023,25000,137100,5.48,Padi,0,1.0025612879619468,NORMAL,5.49,-0.009999999999999787,MG,2023,0,23.588,22.806,22.726,356.2,178.6,24.8,559.6,78.789,1100.26,1077.3,1.176,5.0,442.0,5.7,155,37.0,28.0,35.0,21.5,218,1.16,7.45,21.8,2,3,2
Kab. Bekasi,2014,18000,104400,5.8,Jagung,1,0.9681188449340676,NORMAL,,,MR,2014,1,,,,,,,,,,,,,,6.4,102,46.0,20.0,34.0,13.0,168,1.27,6.6,25.2,2,1,1
Kab. Bekasi,2014,18000,104400,5.8,Jagung,1,0.9681188449340676,NORMAL,,,MG,2014,0,27.39,27.009,26.845,384.6,299.2,27.6,711.4,78.547,1197.77,1067.57,1.379,5.0,573.5,6.4,102,46.0,20.0,34.0,13.0,168,1.27,6.6,25.2,2,1,1
Kab. Bekasi,2015,17200,98600,5.73,Jagung,1,0.956434651977967,NORMAL,5.8,-0.0699999999999994,MR,2015,1,27.856,26.695,26.079,317.9,667.4,392.1,1377.4,78.546,1385.58,1017.48,3.136,5.0,1063.8,6.4,102,46.0,20.0,34.0,13.0,168,1.27,6.6,25.2,2,1,1
Kab. Bekasi,2015,17200,98600,5.73,Jagung,1,0.956434651977967,NORMAL,5.8,-0.0699999999999994,MG,2015,0,27.391,27.186,27.335,299.2,67.3,8.5,375.0,75.166,1179.8,1213.23,0.699,5.0,305.1,6.4,102,46.0,20.0,34.0,13.0,168,1.27,6.6,25.2,2,1,1
