nama_kabupaten,tahun,luas_panen_ha,produksi_ton,produktivitas_ku_ha,yield_ton_ha,sumber,yield_relative,status_aktual,yield_yoy_pct
Kab. Cirebon,2023,83000,464800,56.0,5.6,bps_embed,1.0007147962830591,NORMAL,0.0
Kab. Garut,2019,148000,784400,53.0,5.3,bps_embed,0.998869204673954,NORMAL,
Kab. Garut,2020,145200,769200,53.0,5.3,bps_embed,0.998869204673954,NORMAL,0.0
Kab. Garut,2021,142500,756200,53.1,5.3100000000000005,bps_embed,1.0007538635506974,NORMAL,0.19
Kab. Garut,2022,150800,801200,53.1,5.3100000000000005,bps_embed,1.0007538635506974,NORMAL,0.0
Kab. Garut,2023,138000,732600,53.1,5.3100000000000005,bps_embed,1.0007538635506974,NORMAL,0.0
Kab. Indramayu,2019,221000,1281800,58.0,5.8,bps_embed,0.9979353062629043,NORMAL,
Kab. Indramayu,2020,215800,1252500,58.0,5.8,bps_embed,0.9979353062629043,NORMAL,0.0
Kab. Indramayu,2021,211200,1228500,58.2,5.82,bps_embed,1.001376462491397,NORMAL,0.34
Kab. Indramayu,2022,225500,1312000,58.2,5.82,bps_embed,1.001376462491397,NORMAL,0.0
Kab. Indramayu,2023,205000,1193000,58.2,5.82,bps_embed,1.001376462491397,NORMAL,0.0
Kab. Karawang,2019,195000,1141700,58.5,5.85,bps_embed,0.9989754098360656,NORMAL,
Kab. Karawang,2020,190500,1115000,58.5,5.85,bps_embed,0.9989754098360656,NORMAL,0.0
Kab. Karawang,2021,186800,1094500,58.6,5.86,bps_embed,1.0006830601092898,NORMAL,0.17
Kab. Karawang,2022,198500,1164000,58.6,5.86,bps_embed,1.0006830601092898,NORMAL,0.0
Kab. Karawang,2023,178000,1042800,58.6,5.86,bps_embed,1.0006830601092898,NORMAL,0.0
Kab. Kuningan,2019,68000,373100,54.9,5.49,bps_embed,0.9989082969432314,NORMAL,
Kab. Kuningan,2020,66500,365000,54.9,5.49,bps_embed,0.9989082969432314,NORMAL,0.0
Kab. Kuningan,2021,65200,358100,55.0,5.5,bps_embed,1.0007278020378456,NORMAL,0.18
Kab. Kuningan,2022,70000,385000,55.0,5.5,bps_embed,1.0007278020378456,NORMAL,0.0
Kab. Kuningan,2023,62000,341000,55.0,5.5,bps_embed,1.0007278020378456,NORMAL,0.0
Kab. Majalengka,2019,88000,491700,55.9,5.59,bps_embed,0.9989278055754108,NORMAL,
Kab. Majalengka,2020,86200,482200,55.9,5.59,bps_embed,0.9989278055754108,NORMAL,0.0
Kab. Majalengka,2021,84500,473000,56.0,5.6,bps_embed,1.0007147962830591,NORMAL,0.18
Kab. Majalengka,2022,90500,507000,56.0,5.6,bps_embed,1.0007147962830591,NORMAL,0.0
Kab. Majalengka,2023,80000,447800,56.0,5.6,bps_embed,1.0007147962830591,NORMAL,0.0
Kab. Pangandaran,2019,42000,226400,53.9,5.39,bps_embed,1.0,NORMAL,
Kab. Pangandaran,2020,41200,222000,53.9,5.39,bps_embed,1.0,NORMAL,0.0
Kab. Pangandaran,2021,40500,218400,53.9,5.39,bps_embed,1.0,NORMAL,0.0
Kab. Pangandaran,2022,43800,236200,53.9,5.39,bps_embed,1.0,NORMAL,0.0
Kab. Pangandaran,2023,38000,204800,53.9,5.39,bps_embed,1.0,NORMAL,0.0
Kab. Purwakarta,2019,38500,201800,52.4,5.24,bps_embed,0.9992372234935165,NORMAL,
Kab. Purwakarta,2020,37800,198200,52.4,5.24,bps_embed,0.9992372234935165,NORMAL,0.0
Kab. Purwakarta,2021,37100,194500,52.4,5.24,bps_embed,0.9992372234935165,NORMAL,0.0
Kab. Purwakarta,2022,39800,208900,52.5,5.25,bps_embed,1.0011441647597255,NORMAL,0.19
Kab. Purwakarta,2023,35000,183700,52.5,5.25,bps_embed,1.0011441647597255,NORMAL,0.0
Kab. Subang,2019,168000,985100,58.6,5.86,bps_embed,0.9976166155941438,NORMAL,
Kab. Subang,2020,164500,966000,58.7,5.87,bps_embed,0.9993190330268983,NORMAL,0.17
Kab. Subang,2021,161200,947500,58.8,5.88,bps_embed,1.0010214504596529,NORMAL,0.17
Kab. Subang,2022,172000,1012000,58.8,5.88,bps_embed,1.0010214504596529,NORMAL,0.0
Kab. Subang,2023,155000,911500,58.8,5.88,bps_embed,1.0010214504596529,NORMAL,0.0
Kab. Sukabumi,2019,128600,644800,50.1,5.01,bps_embed,0.9952324195470799,NORMAL,
Kab. Sukabumi,2020,125400,630200,50.3,5.029999999999999,bps_embed,0.9992054032578466,NORMAL,0.4
Kab. Sukabumi,2021,122100,616000,50.4,5.04,bps_embed,1.0011918951132301,NORMAL,0.2
Kab. Sukabumi,2022,130200,657000,50.5,5.05,bps_embed,1.0031783869686135,NORMAL,0.2
Kab. Sukabumi,2023,118900,599000,50.4,5.04,bps_embed,1.0011918951132301,NORMAL,-0.2
Kab. Sumedang,2019,78000,427000,54.7,5.470000000000001,bps_embed,0.9981751824817519,NORMAL,
Kab. Sumedang,2020,76200,417400,54.8,5.4799999999999995,bps_embed,0.9999999999999999,NORMAL,0.18
Kab. Sumedang,2021,74800,410000,54.8,5.4799999999999995,bps_embed,0.9999999999999999,NORMAL,0.0
Kab. Sumedang,2022,80200,440000,54.9,5.49,bps_embed,1.001824817518248,NORMAL,0.18
Kab. Sumedang,2023,71000,389200,54.8,5.4799999999999995,bps_embed,0.9999999999999999,NORMAL,-0.18
Kab. Tasikmalaya,2019,135000,718200,53.2,5.32,bps_embed,0.9992486851990985,NORMAL,
Kab. Tasikmalaya,2020,132100,703400,53.2,5.32,bps_embed,0.9992486851990985,NORMAL,0.0
Kab. Tasikmalaya,2021,129500,689800,53.3,5.33,bps_embed,1.0011269722013525,NORMAL,0.19
Kab. Tasikmalaya,2022,137800,734000,53.3,5.33,bps_embed,1.0011269722013525,NORMAL,0.0
Kab. Tasikmalaya,2023,125000,665500,53.2,5.32,bps_embed,0.9992486851990985,NORMAL,-0.19
